,zipcode,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+,White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**,Male,Female,Unknown/Left Blank,county
293,61032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stephenson
294,61068,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,9,0,Ogle
295,61081,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,8,0,Whiteside
296,61101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,Winnebago
297,61102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,Winnebago
298,61103,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,Winnebago
299,61104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winnebago
300,61107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,Winnebago
301,61108,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,Winnebago
302,61109,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,Winnebago
303,61114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winnebago
304,61201,0,0,0,0,0,0,0,0,8,6,7,0,0,0,0,0,10,12,0,Rock Island
305,61241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Henry
306,61244,0,0,7,7,12,0,0,0,8,0,18,0,0,9,0,0,25,11,0,Rock Island
307,61264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rock Island
308,61265,0,0,7,0,12,6,0,0,9,0,14,0,0,10,0,0,17,17,0,Rock Island
309,61282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rock Island
310,61604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peoria
311,61611,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,Tazewell
312,61614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peoria
313,61615,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Peoria
314,61701,0,0,0,0,0,9,0,0,0,9,14,0,0,0,0,0,10,17,0,McLean
315,61704,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0,McLean
316,61705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McLean
317,61761,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,10,0,McLean
318,61764,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,Livingston
319,61801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,Champaign
320,61802,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,7,7,0,Champaign
321,61820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Champaign
322,61821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Champaign
323,61822,0,6,0,0,8,0,0,0,12,0,0,0,0,0,0,0,8,15,0,Champaign
324,61853,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,Champaign
325,61874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Champaign
326,61910,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,Douglas
327,62002,0,0,0,0,0,0,0,0,7,7,6,0,0,0,0,0,7,12,0,Madison
328,62025,0,0,0,6,0,0,0,0,9,0,7,0,0,0,0,0,9,9,0,Madison
329,62034,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,Madison
330,62035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Madison
331,62040,0,0,0,6,7,0,0,0,12,0,12,0,0,0,0,0,7,20,0,Madison
332,62060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Madison
333,62095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Madison
334,62201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,St. Clair
335,62203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,St. Clair
336,62204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,St. Clair
337,62206,0,0,0,7,0,0,0,0,0,15,0,0,0,0,0,0,7,10,0,St. Clair
338,62207,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,8,6,0,St. Clair
339,62208,0,0,0,0,0,6,0,0,7,0,6,0,0,0,0,0,9,8,0,St. Clair
340,62220,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,St. Clair
341,62221,0,0,0,0,0,0,0,0,6,7,9,0,0,0,0,0,8,14,0,St. Clair
342,62223,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,11,0,St. Clair
343,62226,0,0,0,0,10,6,0,0,10,8,13,0,0,0,0,0,11,19,0,St. Clair
344,62233,0,0,6,6,0,0,0,0,18,0,0,0,0,0,0,0,12,9,0,Randolph
345,62234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,Madison
346,62236,0,0,0,0,0,0,0,17,18,0,6,0,0,0,0,0,0,18,0,Monroe
347,62258,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,St. Clair
348,62265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clinton
349,62269,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,9,8,0,St. Clair
350,62278,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,Randolph
351,62294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Madison
352,62298,0,0,0,0,8,8,0,0,11,0,7,0,0,0,0,0,7,14,0,Monroe
353,62301,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,7,0,0,Adams
354,62305,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,Adams
355,62471,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,Fayette
356,62521,0,0,0,0,0,0,7,17,21,6,0,0,0,0,0,0,10,21,0,Macon
357,62526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Macon
358,62568,0,0,0,0,0,0,7,6,16,0,0,0,0,0,0,0,6,15,0,Christian
359,62650,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,Morgan
360,62702,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,Sangamon
361,62711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sangamon
362,62801,0,0,0,9,7,7,0,0,7,0,19,0,0,0,0,0,6,7,17,Marion
363,62901,0,12,0,0,0,0,0,7,8,10,6,0,0,0,0,0,11,15,0,Jackson
364,62959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Williamson
