Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Washington,US,4/13/2020 23:07,47.4009,-121.4905,10635,513,,10122,53,140.8720663,93802,527,4.823695346,84000053,USA,1242.508845,4.955336154
West Virginia,US,4/13/2020 23:07,38.4912,-80.9545,611,8,85,603,54,46.18298743,16655,164,1.309328969,84000054,USA,1258.883233,26.84124386
Wisconsin,US,4/13/2020 23:07,44.2685,-89.6165,3428,154,,3274,55,66.24703768,40197,993,4.492415403,84000055,USA,776.8180203,28.96732789
Wyoming,US,4/13/2020 23:07,42.756,-107.3025,275,1,138,274,56,55.30528517,5964,41,0.363636364,84000056,USA,1199.420803,14.90909091
Alabama,US,4/12/2020 23:18,32.3182,-86.9023,3563,93,,3470,1,75.98802021,21583,437,2.610159978,84000001,USA,460.3001516,12.26494527
Alaska,US,4/12/2020 23:18,61.3707,-152.4044,272,8,66,264,2,45.50404936,8038,31,2.941176471,84000002,USA,1344.711576,11.39705882
Arizona,US,4/12/2020 23:18,33.7298,-111.4312,3542,115,,3427,4,48.66242224,42109,,3.246753247,84000004,USA,578.5222863,
Arkansas,US,4/12/2020 23:18,34.9697,-92.3731,1280,27,367,1253,5,49.43942261,19722,130,2.109375,84000005,USA,761.7533537,10.15625
California,US,4/12/2020 23:18,36.1162,-119.6816,22795,641,,22154,6,58.13772584,190328,5234,2.81202018,84000006,USA,485.4238685,22.9611757
Colorado,US,4/12/2020 23:18,39.0598,-105.3111,7307,289,,7018,8,128.943729,34873,1376,3.955111537,84000008,USA,615.3899908,18.8312577
Connecticut,US,4/12/2020 23:18,41.5978,-72.7554,12035,554,,11481,9,337.5604825,41220,1654,4.603240548,84000009,USA,1156.148159,13.74324886
Delaware,US,4/12/2020 23:18,39.3185,-75.5071,1625,35,191,1590,10,166.8782169,11103,190,2.153846154,84000010,USA,1140.214672,11.69230769
Diamond Princess,US,4/12/2020 23:18,,,49,0,0,49,888,,,,0,84088888,USA,,
District of Columbia,US,4/12/2020 23:18,38.8974,-77.0268,1875,50,493,1825,11,265.6751905,10640,,2.666666667,84000011,USA,1507.618148,
Florida,US,4/12/2020 23:18,27.7663,-81.6868,19895,461,,19434,12,93.70022691,182753,2772,2.317165117,84000012,USA,860.7186513,13.93314903
Georgia,US,4/12/2020 23:18,33.0406,-83.6431,12452,433,,12019,13,122.8081405,54453,2505,3.477353036,84000013,USA,537.0439828,20.11725024
Grand Princess,US,4/12/2020 23:18,,,103,0,0,103,999,,,,0,84099999,USA,,
Guam,US,4/12/2020 23:18,13.4443,144.7937,133,5,58,128,66,80.98447899,826,13,3.759398496,316,GUM,502.9562379,9.77443609
Hawaii,US,4/12/2020 23:18,21.0943,-157.4983,499,9,300,490,15,35.24543964,17968,44,1.803607214,84000015,USA,1269.118355,8.817635271
Idaho,US,4/12/2020 23:18,44.2405,-114.4788,1407,27,,1380,16,87.36433536,14308,131,1.918976546,84000016,USA,888.4214004,9.310589908
Illinois,US,4/12/2020 23:18,40.3495,-88.9861,20852,720,,20132,17,177.6807818,100735,3680,3.452906196,84000017,USA,858.3672336,17.64818722
Indiana,US,4/12/2020 23:18,39.8494,-86.2583,7928,343,,7585,18,121.1492553,42489,,4.326437941,84000018,USA,649.2823801,
Iowa,US,4/12/2020 23:18,42.0115,-93.2105,1587,41,674,1546,19,60.55603952,17592,129,2.583490863,84000019,USA,671.2677046,8.128544423
Kansas,US,4/12/2020 23:18,38.5266,-96.7265,1344,56,,1288,20,55.11612114,13253,298,4.166666667,84000020,USA,543.4925249,22.17261905
Kentucky,US,4/12/2020 23:18,37.6681,-84.6701,1963,97,464,1866,21,57.34228025,24567,459,4.9414162,84000021,USA,717.6402439,23.38257769
Louisiana,US,4/12/2020 23:18,31.1695,-91.8678,20595,840,,19755,22,447.9836494,104045,2084,4.078659869,84000022,USA,2263.19295,10.11896091
Maine,US,4/12/2020 23:18,44.6939,-69.3819,633,19,266,614,23,53.91795272,6721,120,3.001579779,84000023,USA,572.4842974,18.95734597
Maryland,US,4/12/2020 23:18,39.0639,-76.8021,8225,236,456,7989,24,138.3903145,49764,1860,2.869300912,84000024,USA,837.3076732,22.61398176
Massachusetts,US,4/12/2020 23:18,42.2302,-71.5301,25475,756,,24719,25,371.1516059,116730,2235,2.967615309,84000025,USA,1700.668379,8.773307164
Michigan,US,4/12/2020 23:18,43.3266,-84.5361,24244,1479,433,22765,26,304.2953668,79437,3636,6.100478469,84000026,USA,997.0430232,14.99752516
Minnesota,US,4/12/2020 23:18,45.6945,-93.9002,1621,70,842,1551,27,32.77100367,37421,361,4.318322023,84000027,USA,756.5229662,22.27020358
Mississippi,US,4/12/2020 23:18,32.7416,-89.6787,2781,96,,2685,28,96.05534114,21413,548,3.451995685,84000028,USA,739.6019489,19.70514204
Missouri,US,4/12/2020 23:18,38.4561,-92.2884,4269,118,,4151,29,72.85659283,45200,988,2.764113375,84000029,USA,771.4026695,23.14359335
Montana,US,4/12/2020 23:18,46.9219,-110.4544,387,6,169,381,30,44.68889256,8913,47,1.550387597,84000030,USA,1029.230231,12.14470284
Nebraska,US,4/12/2020 23:18,41.1254,-98.2681,791,17,,774,31,51.85960275,10691,,2.149178255,84000031,USA,700.924163,
Nevada,US,4/12/2020 23:18,38.3135,-117.0554,2836,112,,2724,32,94.01010443,24611,282,3.94922426,84000032,USA,815.8260508,9.943582511
New Hampshire,US,4/12/2020 23:18,43.4525,-71.5639,929,23,236,906,33,69.94702398,10925,146,2.475780409,84000033,USA,822.5739902,15.71582347
New Jersey,US,4/12/2020 23:18,40.2989,-74.521,61850,2350,,59500,34,696.3372772,126735,7604,3.799514956,84000034,USA,1426.844055,12.29426031
New Mexico,US,4/12/2020 23:18,34.8405,-106.2485,1245,26,235,1219,35,74.66119111,28692,78,2.088353414,84000035,USA,1720.625619,6.265060241
New York,US,4/12/2020 23:18,42.1657,-74.9481,189033,9385,23887,179648,36,1121.124012,461601,42594,4.964741606,84000036,USA,2737.680538,22.53257368
North Carolina,US,4/12/2020 23:18,35.6301,-79.8064,4570,89,,4481,37,46.07841902,62139,331,1.947483589,84000037,USA,626.5354222,7.242888403
North Dakota,US,4/12/2020 23:18,47.5289,-99.784,308,7,121,301,38,50.79004911,10350,39,2.272727273,84000038,USA,1706.743533,12.66233766
Ohio,US,4/12/2020 23:18,40.3888,-82.7649,6604,253,,6351,39,59.10222609,63243,1948,3.831011508,84000039,USA,565.9906245,29.49727438
Oklahoma,US,4/12/2020 23:18,35.5653,-96.9289,1970,96,865,1874,40,53.85995428,22760,446,4.873096447,84000040,USA,622.2601824,22.63959391
Oregon,US,4/12/2020 23:18,44.572,-122.0709,1527,52,,1475,41,38.1076067,29758,359,3.405370007,84000041,USA,742.6366471,23.51015062
Pennsylvania,US,4/12/2020 23:18,40.5908,-77.2098,22938,557,,22381,42,182.2284446,124890,2097,2.428284942,84000042,USA,992.175013,9.142035051
Puerto Rico,US,4/12/2020 23:18,18.2208,-66.5901,897,44,,853,72,30.57876709,6716,,4.905239688,630,PRI,228.9487177,
Rhode Island,US,4/12/2020 23:18,41.6809,-71.5118,2665,63,35,2602,44,251.5667464,20350,201,2.363977486,84000044,USA,1920.969339,7.542213884
South Carolina,US,4/12/2020 23:18,33.8569,-80.945,3320,82,,3238,45,65.87334263,31425,496,2.469879518,84000045,USA,623.5149976,14.93975904
South Dakota,US,4/12/2020 23:18,44.2998,-99.4388,730,6,197,724,46,99.19933903,8553,43,0.821917808,84000046,USA,1162.262941,5.890410959
Tennessee,US,4/12/2020 23:18,35.7478,-86.6923,5508,106,1504,5402,47,83.90037425,70677,567,1.924473493,84000047,USA,1076.584377,10.29411765
Texas,US,4/12/2020 23:18,31.0545,-97.5635,13677,283,2014,13394,48,59.50516088,124533,1338,2.069167215,84000048,USA,541.811523,9.782847116
Utah,US,4/12/2020 23:18,40.15,-111.8624,2303,18,,2285,49,80.3592053,44234,195,0.781589231,84000049,USA,1543.468991,8.467216674
Vermont,US,4/12/2020 23:18,44.0459,-72.7107,727,27,15,700,50,119.0649715,9841,34,3.71389271,84000050,USA,1611.717172,4.676753783
Virginia,US,4/12/2020 23:18,37.7693,-78.17,5274,141,,5133,51,66.69845192,39985,751,2.673492605,84000051,USA,505.6764505,14.23966629
Washington,US,4/12/2020 23:18,47.4009,-121.4905,10609,506,,10103,53,140.5276682,93615,642,4.7695353,84000053,USA,1240.031828,6.051465737
West Virginia,US,4/12/2020 23:18,38.4912,-80.9545,593,6,83,587,54,44.82244115,16257,81,1.011804384,84000054,USA,1228.800044,13.65935919
Wisconsin,US,4/12/2020 23:18,44.2685,-89.6165,3341,144,,3197,55,64.56573888,39257,974,4.3100868,84000055,USA,758.6522632,29.15294822
Wyoming,US,4/12/2020 23:18,42.756,-107.3025,270,0,137,270,56,54.29973453,5459,40,0,84000056,USA,1097.860188,14.81481481
American Samoa,US,4/12/2020 23:18,-14.271,-170.1322,0,0,,0,60,0,3,,,16,ASM,5.391707554,
Northern Mariana Islands,US,4/12/2020 23:18,15.0979,145.6739,11,2,,9,69,19.9477731,38,,18.18181818,580,MNP,68.9104889,
Virgin Islands,US,4/12/2020 23:18,18.3358,-64.8963,51,1,43,50,,47.54446806,350,3,1.960784314,850,VIR,326.2855651,5.882352941
