,Area_name,all_ages_poverty_2018,all_ages_poverty_rate_2018,median_HH_2018
1840,Lea County,"10,813",16.1,51656
1841,Lincoln County,"3,166",16.4,45095
1842,Los Alamos County,733,3.9,124947
1843,Luna County,"6,364",27.2,30570
1844,McKinley County,"23,092",32.3,33976
1845,Mora County,"1,053",23.5,34491
1846,Otero County,"13,074",20.3,42701
1847,Quay County,"1,975",24.1,33085
1848,Rio Arriba County,"8,498",22.0,41511
1849,Roosevelt County,"3,979",22.6,41700
1850,Sandoval County,"18,215",12.6,57036
1851,San Juan County,"28,486",23.1,46578
1852,San Miguel County,"7,479",28.2,35292
1853,Santa Fe County,"17,972",12.2,60187
1854,Sierra County,"2,739",25.7,31741
1855,Socorro County,"4,767",29.6,33989
1856,Taos County,"6,955",21.4,38405
1857,Torrance County,"3,763",25.2,39123
1858,Union County,701,20.4,40426
1859,Valencia County,"12,908",17.3,46365
1860,New York,"2,603,303",13.7,67648
1861,Albany County,"32,888",11.3,64536
1862,Allegany County,"7,161",17.0,46262
1863,Bronx County,"380,470",27.3,38566
1864,Broome County,"31,406",17.3,50928
1865,Cattaraugus County,"12,711",17.1,48017
1866,Cayuga County,"9,509",13.0,52945
1867,Chautauqua County,"22,426",18.3,45689
1868,Chemung County,"10,856",13.5,52565
1869,Chenango County,"7,023",15.1,50312
1870,Clinton County,"9,779",13.2,55517
1871,Columbia County,"6,828",11.7,64916
1872,Cortland County,"7,426",16.9,51751
1873,Delaware County,"6,746",15.9,47382
1874,Dutchess County,"25,387",9.2,79604
1875,Erie County,"122,204",13.7,56375
1876,Essex County,"4,150",11.7,54376
1877,Franklin County,"7,404",16.7,48722
1878,Fulton County,"6,830",13.0,51388
1879,Genesee County,"5,494",9.9,58925
1880,Greene County,"5,789",13.0,54514
1881,Hamilton County,404,9.1,59020
1882,Herkimer County,"8,176",13.5,53168
1883,Jefferson County,"12,996",12.3,52798
1884,Kings County,"483,632",18.9,60862
1885,Lewis County,"3,177",12.2,52660
1886,Livingston County,"7,173",12.5,61027
1887,Madison County,"7,121",10.8,59114
1888,Monroe County,"103,620",14.4,60240
1889,Montgomery County,"7,694",15.8,43799
1890,Nassau County,"77,883",5.8,115301
1891,New York County,"245,347",15.6,84610
1892,Niagara County,"26,833",13.0,55013
1893,Oneida County,"32,150",14.8,54096
1894,Onondaga County,"61,143",13.7,59786
1895,Ontario County,"9,077",8.5,62930
1896,Orange County,"42,664",11.5,75048
1897,Orleans County,"4,819",12.6,52658
1898,Oswego County,"18,209",16.1,53745
1899,Otsego County,"6,881",12.5,54321
1900,Putnam County,"5,863",6.0,100887
1901,Queens County,"261,819",11.6,68432
1902,Rensselaer County,"17,059",11.1,71084
1903,Richmond County,"55,217",11.7,79719
1904,Rockland County,"44,728",13.9,88960
1905,St. Lawrence County,"14,677",15.1,49356
1906,Saratoga County,"14,319",6.3,83210
1907,Schenectady County,"17,062",11.3,63297
1908,Schoharie County,"3,532",11.8,57757
1909,Schuyler County,"2,392",13.5,50190
1910,Seneca County,"4,000",12.6,54184
1911,Steuben County,"12,069",12.8,54862
1912,Suffolk County,"105,578",7.3,100075
1913,Sullivan County,"11,834",16.2,51985
1914,Tioga County,"4,912",10.2,60309
1915,Tompkins County,"15,146",16.8,57383
1916,Ulster County,"24,389",14.3,63073
1917,Warren County,"6,859",10.8,56694
1918,Washington County,"6,637",11.4,55913
1919,Wayne County,"8,511",9.6,61118
1920,Westchester County,"78,572",8.3,94521
1921,Wyoming County,"3,627",9.9,57709
1922,Yates County,"3,014",12.7,51089
1923,North Carolina,"1,422,154",14.1,53922
1924,Alamance County,"21,661",13.5,50480
1925,Alexander County,"4,653",13.0,49138
1926,Alleghany County,"2,060",18.7,39735
1927,Anson County,"4,680",20.5,38023
1928,Ashe County,"4,542",16.9,41864
1929,Avery County,"2,542",16.8,41701
1930,Beaufort County,"8,429",18.1,46411
1931,Bertie County,"4,172",23.5,35433
1932,Bladen County,"9,542",29.1,36976
1933,Brunswick County,"14,203",10.5,60163
1934,Buncombe County,"28,859",11.5,53960
1935,Burke County,"12,278",14.0,44946
1936,Cabarrus County,"18,839",9.0,69297
1937,Caldwell County,"12,830",15.9,43328
1938,Camden County,884,8.3,65955
1939,Carteret County,"6,717",9.8,55052
1940,Caswell County,"3,642",17.1,45517
1941,Catawba County,"20,321",13.0,53738
1942,Chatham County,"6,709",9.3,73703
1943,Cherokee County,"5,253",18.8,41262
1944,Chowan County,"2,370",17.2,42618
1945,Clay County,"1,602",14.6,42878
1946,Cleveland County,"18,301",19.1,42728
1947,Columbus County,"13,279",25.3,36862
1948,Craven County,"14,513",14.9,50748
1949,Cumberland County,"53,788",17.0,46779
1950,Currituck County,"2,602",9.7,64426
1951,Dare County,"2,992",8.3,64768
1952,Davidson County,"24,694",15.0,47758
1953,Davie County,"4,555",10.8,60801
1954,Duplin County,"11,877",20.4,42725
1955,Durham County,"41,063",13.5,59329
1956,Edgecombe County,"11,705",22.9,38818
1957,Forsyth County,"60,361",16.4,50112
1958,Franklin County,"8,394",12.7,57710
1959,Gaston County,"31,172",14.2,52798
1960,Gates County,"1,747",15.2,51746
1961,Graham County,"1,575",18.9,39502
1962,Granville County,"7,331",13.0,58956
1963,Greene County,"4,319",23.5,43591
1964,Guilford County,"79,267",15.4,52166
1965,Halifax County,"10,800",22.0,36760
1966,Harnett County,"18,802",14.4,51225
1967,Haywood County,"8,071",13.1,47183
1968,Henderson County,"11,212",9.7,54012
1969,Hertford County,"4,909",23.2,38216
1970,Hoke County,"9,621",18.0,47892
1971,Hyde County,"1,014",22.2,40653
1972,Iredell County,"16,746",9.5,60044
1973,Jackson County,"6,570",16.7,44502
1974,Johnston County,"23,374",11.7,60296
1975,Jones County,"1,542",16.2,43302
1976,Lee County,"9,459",15.7,48984
