,zipcode,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+,White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**,Male,Female,Unknown/Left Blank
284,60827,0,14,19,32,18,18,0,0,0,79,30,0,0,0,0,0,47,66,0
285,60901,0,15,20,23,28,16,8,18,48,22,54,0,0,6,0,0,73,53,0
286,60914,0,0,6,6,7,7,0,9,19,0,18,0,0,0,0,0,13,28,0
287,60915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
288,60950,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,8,0
289,60954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,60964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,61008,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0
292,61021,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0
293,61032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,61068,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,9,0
295,61081,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,8,0
296,61101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
297,61102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
298,61103,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0
299,61104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,61107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
301,61108,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0
302,61109,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0
303,61114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,61201,0,0,0,0,0,0,0,0,8,6,7,0,0,0,0,0,10,12,0
305,61241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,61244,0,0,7,7,12,0,0,0,8,0,18,0,0,9,0,0,25,11,0
307,61264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,61265,0,0,7,0,12,6,0,0,9,0,14,0,0,10,0,0,17,17,0
309,61282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,61604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,61611,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0
312,61614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,61615,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0
314,61701,0,0,0,0,0,9,0,0,0,9,14,0,0,0,0,0,10,17,0
